UTC(hours),zi(m)
0.37,1401
0.62,1386
0.87,1386
1.12,1401
1.37,1401
1.62,1401
1.87,1386
2.12,1371
2.37,1326
2.62,1266
2.87,1251
3.12,1251
3.37,1206
3.62,1191
3.87,1191
4.12,1206
4.37,1161
4.62,1101
5.12,1071
5.37,1086
5.62,1116
5.87,1176
6.12,1191
6.37,217
6.62,232
6.87,202
7.12,262
7.37,247
7.62,352
7.87,382
8.12,367
8.37,502
8.62,577
8.87,652
9.12,801
9.37,771
9.62,846
9.87,801
10.12,951
10.37,1041
10.62,1041
10.87,1041
11.12,1056
11.37,1086
11.62,1131
11.87,1116
12.12,1176
12.37,1251
12.62,1266
12.87,1206
13.12,1221
13.37,1221
13.62,1311
13.87,1326
14.12,1356
14.37,1356
14.62,1386
14.87,1326
15.12,1296
15.37,1236
15.62,1176
15.87,1341
16.12,1251
16.37,1281
16.62,1281
16.87,1251
17.12,1251
17.37,1236
17.62,1236
17.87,1266
18.12,1221
18.37,1251
18.62,1266
18.87,1251
19.12,1251
19.37,1236
19.62,1251
19.87,1266
20.12,1191
20.37,1176
20.62,1116
20.87,1116
21.37,1131
21.62,1176
21.87,1176
22.12,1131
22.37,1191
22.62,1176
22.87,1176
23.12,1146
23.37,1116
23.62,1146
23.87,1101
